"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"ESP,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",1.352205559,""P"""
"ESP,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",3.108188446,""P"""
"ESP,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",2.26529089,""P"""
"ESP,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",-0.188858719,""P"""
"ESP,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",1.458973728,""P"""
"ESP,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.23294816,""P"""
"JPN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",-0.141901457,"
"JPN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",0.325515249,"
"JPN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",-0.451389152,"
"JPN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",1.204341548,"
"JPN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",-0.450097233,"
"JPN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",1.103428577,"
"JPN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",-0.206316139,"
"OECD,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",0.815750923,"
"OECD,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",1.710251392,"
"OECD,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",1.188916518,"
"OECD,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",1.363015972,"
"OECD,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",0.199464199,"
"OECD,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.458859761,"
"OECD,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.4,"
"HUN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",1.117595444,"
"HUN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",2.363956069,"
"HUN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",1.703832693,"
"HUN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",2.057879554,"
"HUN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",1.582497673,"
"HUN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.808613743,"
"HUN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",-0.434562852,"
"CAN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",1.308902555,"
"CAN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",-0.588596311,"
"CAN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",1.430867107,"
"CAN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",1.671567869,"
"CAN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",0.682093903,"
"CAN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.794953483,"
"CAN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.728129094,"
"ARG,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",3.566100808,"
"ARG,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",-0.617639673,"
"ARG,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",3.865873793,"
"ARG,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",1.631489361,"
"ARG,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",1.178956556,"
"ARG,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",1.042620016,"
"SVN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",1.221541689,"
"SVN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",1.487685767,"
"SVN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",2.457072396,"
"SVN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",5.160503825,"
"SVN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",-0.052864959,"
"SVN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.239565628,"
"SVN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",-1.364690483,"
"FIN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",-0.196916152,"
"FIN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",1.553774333,"
"FIN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",1.007858171,"
"FIN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",0.585628907,"
"FIN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",0.278304222,"
"FIN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.716815365,"
"FIN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",-0.316129359,"
"BRA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",1.053491922,"
"BRA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",-0.264462894,"
"BRA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",0.444978639,"
"BRA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",0.857293622,"
"BRA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",1.349037114,"
"BRA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.980055551,"
"BRA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.395910203,"
"USA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",1.542791999,"
"USA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",1.707015905,"
"USA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",0.656694491,"
"USA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",1.69569402,"
"USA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",-0.410338185,"
"USA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",-0.144633973,"
"USA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.724468644,"
"SVK,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",-1.436340788,"
"SVK,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",1.923055117,"
"SVK,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",0.33075011,"
"SVK,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",0.320823684,"
"SVK,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",0.320997031,"
"SVK,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.360635043,"
"SVK,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.356978919,"
"BEL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",1.364535083,""P"""
"BEL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",1.727122043,""P"""
"BEL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",2.32344601,""P"""
"BEL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",0.57009132,""P"""
"BEL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",0.567734486,""P"""
"BEL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.543653175,""P"""
"BEL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.173893484,""P"""
"ISR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",-0.228439477,"
"ISR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",3.816190591,"
"ISR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",2.275465855,"
"ISR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",4.338539393,"
"ISR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",-0.852619163,"
"ISR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",1.777255572,"
"ISR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.514868257,"
"TUR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",2.616659059,"
"TUR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",1.994956988,"
"TUR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",2.714482826,"
"TUR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",1.575638393,"
"TUR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",0.589413802,"
"TUR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",1.874313763,"
"TUR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",-0.12469848,"
"IND,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",0.75983,"
"IND,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",-8.64884,"
"IND,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",8.68774,"
"IND,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",4.98936,"
"IND,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",-0.07691,"
"IND,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",-0.01586,"
"IND,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.7557,"
"LVA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",-0.698419349,"
"LVA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",2.244875781,"
"LVA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",1.364212166,"
"LVA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",-0.431814241,"
"LVA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",1.782897748,"
"LVA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.008423872,"
"LVA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",-1.68864342,"
"CZE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",-0.515754196,"
"CZE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",1.407038024,"
"CZE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",1.698836543,"
"CZE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",0.846832679,"
"CZE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",0.620574959,"
"CZE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.372471,"
"CZE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",-0.160772668,"
"POL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",2.571794875,"
"POL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",2.173567115,"
"POL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",2.088769567,"
"POL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",1.634625676,"
"POL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",4.255502011,"
"POL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",-2.335642348,"
"POL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.958997775,"
"DEU,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",-1.468048603,""P"""
"DEU,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",1.928643933,""P"""
"DEU,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",0.785236875,""P"""
"DEU,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",-0.02815511,""P"""
"DEU,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",0.798122004,""P"""
"DEU,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.102467351,""P"""
"DEU,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.400146855,""P"""
"IDN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",0.871864351,"
"IDN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",0.127153806,"
"IDN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",0.185591584,"
"IDN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",3.774634496,"
"IDN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",0.778974698,"
"IDN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.669381397,"
"IDN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.568588751,"
"LUX,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",2.021735062,"
"LUX,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",0.581737437,"
"LUX,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",-0.194103088,"
"LUX,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",1.633183727,"
"LUX,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",0.745967202,""P"""
"LUX,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",-0.497233163,""P"""
"LUX,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",1.110320251,""P"""
"ZAF,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",0.822924303,"
"ZAF,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",1.387912495,"
"ZAF,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",-1.801676582,"
"ZAF,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",1.369403562,"
"ZAF,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",1.74312424,"
"ZAF,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",-0.738679362,"
"ZAF,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",1.620785411,"
"RUS,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",0.680789326,"
"RUS,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",3.190933741,"
"RUS,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",-0.794505895,"
"PRT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",-2.570385739,""P"""
"PRT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",4.42474298,""P"""
"PRT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",2.781923432,""P"""
"PRT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",1.938733959,""P"""
"PRT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",2.354519315,""P"""
"PRT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.121061782,""P"""
"PRT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.375980162,""P"""
"ITA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",0.303872937,"
"ITA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",2.485043718,"
"ITA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",2.768524603,"
"ITA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",0.84595761,"
"ITA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",0.160524687,"
"ITA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",1.133057696,"
"ITA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.460775351,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",-1.008203634,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",4.110187188,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",4.314870585,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",-1.354653683,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",1.230730988,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",1.936702381,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.214305869,"
"IRL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",8.942287682,"
"IRL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",1.931800848,"
"IRL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",3.797418637,"
"IRL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",-1.105441684,"
"IRL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",6.971280765,"
"IRL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",2.164584857,"
"IRL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",2.316439198,"
"CHE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",-0.133696121,"
"CHE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",2.013748831,"
"CHE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",1.799396215,"
"CHE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",0.087540647,"
"CHE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",0.310349846,"
"CHE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.102771306,"
"CHE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.243612991,"
"CHN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",0.8,"
"CHN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",1.4,"
"CHN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",0.4,"
"CHN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",1.3,"
"CHN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",1.6,"
"CHN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",-2.7,"
"CHN,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",3.9,"
"CHL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",3.663587692,"
"CHL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",1.348715839,"
"CHL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",4.611339688,"
"CHL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",1.692121555,"
"CHL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",-0.686220584,"
"CHL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.138327182,"
"CHL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",-1.180470028,"
"SWE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",1.633257339,"
"SWE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",0.783354872,"
"SWE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",2.016587833,"
"SWE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",1.316138112,"
"SWE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",-0.074566434,"
"SWE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.727979818,"
"SWE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.599676756,"
"FRA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",0.075525415,"
"FRA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",1.106267903,"
"FRA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",3.286365125,"
"FRA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",0.56736731,"
"FRA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",-0.202158354,"
"FRA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.48243203,"
"FRA,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.174792927,"
"GRC,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",3.061652986,""P"""
"GRC,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",1.322874174,""P"""
"GRC,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",3.58576804,""P"""
"GRC,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",0.577293486,""P"""
"GRC,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",2.179143768,""P"""
"GRC,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.587291694,""P"""
"GRC,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",-0.53899533,""P"""
"OECDE,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",0.212625,"
